Track name, Artist name, Album, Playlist name, Type
Austin Mahone - Till I Find You,,,3/07/21,Playlist track
Pitbull · Ke$ha - Timber,,,3/07/21,Playlist track
David Guetta · Sia - Titanium (feat. Sia),,,3/07/21,Playlist track
Anne-Marie - To Be Young (feat. Doja Cat) [Official Video],,,3/07/21,Playlist track
Britney Spears - Toxic,,,3/07/21,Playlist track
SHAED - Trampoline,,,3/07/21,Playlist track
Shawn Mendes - Treat You Better,,,3/07/21,Playlist track
Denzel Curry - Ultimate,,,3/07/21,Playlist track
The Score - Unstoppable,,,3/07/21,Playlist track
Mark Ronson · Bruno Mars - Uptown Funk,,,3/07/21,Playlist track
ZAYN - Vibez,,,3/07/21,Playlist track
Panic! At The Disco - Victorious,,,3/07/21,Playlist track
Avicii - Wake Me Up,,,3/07/21,Playlist track
OneRepublic - Wanted,,,3/07/21,Playlist track
Cardi B · Megan Thee Stallion - WAP (feat. Megan Thee Stallion),,,3/07/21,Playlist track
Silentó - Watch Me (Whip/Nae Nae) (Official),,,3/07/21,Playlist track
Harry Styles - Watermelon Sugar,,,3/07/21,Playlist track
Dean Lewis - Waves,,,3/07/21,Playlist track
Queen - We Are The Champions (Remastered 2011),,,3/07/21,Playlist track
Fun. · Janelle Monáe - We Are Young (feat. Janelle Monáe),,,3/07/21,Playlist track
Rihanna · Calvin Harris - We Found Love,,,3/07/21,Playlist track
Dua Lipa - We're Good (Official Music Video),,,3/07/21,Playlist track
Queen - We Will Rock You (Remastered 2011),,,3/07/21,Playlist track
Jonas Brothers - What A Man Gotta Do,,,3/07/21,Playlist track
"Sam Fischer, Demi Lovato - What Other People Say (Official Video)",,,3/07/21,Playlist track
Imagine Dragons - Whatever It Takes,,,3/07/21,Playlist track
The Black Eyed Peas - Where Is The Love?,,,3/07/21,Playlist track
OneRepublic - Wherever I Go,,,3/07/21,Playlist track
Baha Men - Who Let The Dogs Out,,,3/07/21,Playlist track
Unknown Brain · Bri Tolani - Why Do I?,,,3/07/21,Playlist track
Taylor Swift - willow,,,3/07/21,Playlist track
Macklemore & Ryan Lewis · Macklemore · Ryan Lewis - Wing$,,,3/07/21,Playlist track
Halsey - Without Me,,,3/07/21,Playlist track
The Kid LAROI - WITHOUT YOU (Official Video),,,3/07/21,Playlist track
Shawn Mendes - Wonder,,,3/07/21,Playlist track
Fifth Harmony · Kid Ink - Worth It,,,3/07/21,Playlist track
Zara Larsson - WOW,,,3/07/21,Playlist track
DMX - X Gon' Give It To Ya,,,3/07/21,Playlist track
DMX - X Gon' Give It to Ya (Re-Recorded),,,3/07/21,Playlist track
Tate McRae - you broke me first (Official Video),,,3/07/21,Playlist track
The Strokes - You Only Live Once,,,3/07/21,Playlist track
Wilbur Soot - Your New Boyfriend,,,3/07/21,Playlist track
Troye Sivan - YOUTH,,,3/07/21,Playlist track
Justin Bieber - Yummy,,,3/07/21,Playlist track
Halsey - Hurricane,,,3/07/21,Playlist track
Zedd · Liam Payne - Get Low,,,3/07/21,Playlist track
Sasha Alex Sloan - Hypochondriac,,,3/07/21,Playlist track
Harry Styles - Adore You,,,3/07/21,Playlist track
Lauv · Conan Gray - Fake,,,3/07/21,Playlist track
ILLENIUM · Jon Bellion - Good Things Fall Apart,,,3/07/21,Playlist track
Pitbull · Christina Aguilera - Feel This Moment,,,3/07/21,Playlist track
Charlie Puth - My Gospel,,,3/07/21,Playlist track
Alec Benjamin - Jesus in LA,,,3/07/21,Playlist track
Alec Benjamin - If We Have Each Other,,,3/07/21,Playlist track
Lord Huron - The Night We Met,,,3/07/21,Playlist track
DJ Snake · Lil Jon - Turn Down for What,,,3/07/21,Playlist track
James Arthur - Say You Won't Let Go,,,3/07/21,Playlist track
Zedd · Alessia Cara - Stay,,,3/07/21,Playlist track
Post Malone · 21 Savage - rockstar,,,3/07/21,Playlist track
Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio],,,3/07/21,Playlist track
"gnash · Olivia O'brien - i hate u, i love u (feat. olivia o'brien)",,,3/07/21,Playlist track
Billie Eilish - Ocean Eyes,,,3/07/21,Playlist track
Enrique Iglesias · Sean Paul · Descemer Bueno · Gente De Zona - Bailando (English Version),,,3/07/21,Playlist track
Y2K · bbno$ - Lalala,,,3/07/21,Playlist track
Passenger - Let Her Go,,,3/07/21,Playlist track
Ed Sheeran - Photograph,,,3/07/21,Playlist track
Hailee Steinfeld · Grey · Zedd - Starving,,,3/07/21,Playlist track
Flo Rida · Sage The Gemini · LooKas - GDFR (feat. Sage the Gemini & Lookas),,,3/07/21,Playlist track
"Radical Face - Welcome Home, Son (Remastered)",,,3/07/21,Playlist track
Iggy Azalea · Rita Ora - Black Widow,,,3/07/21,Playlist track
Cash Cash · Bebe Rexha - Take Me Home (feat. Bebe Rexha),,,3/07/21,Playlist track
Ali Gatie - It's You,,,3/07/21,Playlist track
Sub Urban · Bella Poarch - INFERNO,,,3/07/21,Playlist track
Bryce Fox · Ben Camp · David Pramik · Ethan Mentzer · Lucas Marx · Mike Aljadeff · Bryce Fox - Horns,,,3/07/21,Playlist track
Eminem - Venom (Music From The Motion Picture),,,3/07/21,Playlist track
Panic! At The Disco - Emperor's New Clothes,,,3/07/21,Playlist track
ZAYN · Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker),,,3/07/21,Playlist track
Blanks - What You Do To Me,,,3/07/21,Playlist track
Tsuko G. - Deja Vu (Initial D),,,3/07/21,Playlist track
LeanAddxct - Stay,,,3/07/21,Playlist track
Charlie Puth · Kehlani - Done for Me (feat. Kehlani),,,3/07/21,Playlist track
Future - Mask Off (Marshmello Remix),,,3/07/21,Playlist track
Trevor Daniel - Past Life (Lyrics),,,3/07/21,Playlist track
Kygo · Selena Gomez - It Ain't Me,,,3/07/21,Playlist track
DJ Snake · Selena Gomez - Selfish Love,,,3/07/21,Playlist track
Charlie Puth · Selena Gomez - We Don't Talk Anymore (feat. Selena Gomez) (Attom Remix),,,3/07/21,Playlist track
Eminem · Nate Dogg - Shake That,,,3/07/21,Playlist track
